,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,TSLA,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Tesla Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,795.35,,-42.95,-5.12%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"822,000M",162.29,2.04,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,TSLA,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Aug 19, 2021",678.21,686.55,667.59,673.47,"14,313,486"
,"Aug 20, 2021",682.85,692.13,673.70,680.26,"14,841,865"
,"Aug 23, 2021",685.44,712.13,680.75,706.30,"20,264,859"
,"Aug 24, 2021",710.68,715.22,702.64,708.49,"13,083,071"
,"Aug 25, 2021",707.03,716.97,704.00,711.20,"12,645,562"
,"Aug 26, 2021",708.31,715.40,697.62,701.16,"13,214,292"
,"Aug 27, 2021",705.00,715.00,702.10,711.92,"13,833,763"
,"Aug 30, 2021",714.72,731.00,712.73,730.91,"18,604,220"
,"Aug 31, 2021",733.00,740.39,726.44,735.72,"20,855,436"
,"Sep 1, 2021",734.08,741.99,731.27,734.09,"13,204,335"
,"Sep 2, 2021",734.50,740.97,730.54,732.39,"12,796,739"
,"Sep 3, 2021",732.25,734.00,724.20,733.57,"15,271,045"
,"Sep 7, 2021",740.00,760.20,739.26,752.92,"20,039,825"
,"Sep 8, 2021",761.58,764.45,740.77,753.87,"18,793,036"
,"Sep 9, 2021",753.41,762.10,751.63,754.86,"14,077,731"
,"Sep 10, 2021",759.60,762.61,734.52,736.27,"15,184,170"
,"Sep 13, 2021",740.21,744.78,708.85,743.00,"22,952,482"
,"Sep 14, 2021",742.57,754.47,736.40,744.49,"18,524,881"
,"Sep 15, 2021",745.00,756.86,738.36,755.83,"15,357,685"
,"Sep 16, 2021",752.83,758.91,747.61,756.99,"13,923,393"
,"Sep 17, 2021",757.15,761.04,750.00,759.49,"28,204,176"
,"Sep 20, 2021",734.56,742.00,718.62,730.17,"24,757,652"
,"Sep 21, 2021",734.79,744.74,730.44,739.38,"16,330,723"
