,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,GLD,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,SPDR Gold Trust,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,185.09,,-1.31,-0.70%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"67,743M",-,-,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,GLD,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Aug 24, 2021",169.04,169.27,168.52,168.65,"4,519,173"
,"Aug 25, 2021",167.88,167.92,166.74,167.48,"5,588,751"
,"Aug 26, 2021",167.21,168.21,166.83,167.67,"4,371,866"
,"Aug 27, 2021",167.58,170.19,166.87,170.19,"10,036,431"
,"Aug 30, 2021",169.66,169.84,169.09,169.35,"3,768,628"
,"Aug 31, 2021",169.23,169.92,168.75,169.69,"6,336,002"
,"Sep 1, 2021",169.94,170.00,169.16,169.70,"4,764,866"
,"Sep 2, 2021",169.50,169.63,168.82,169.25,"4,601,128"
,"Sep 3, 2021",170.59,171.55,170.15,171.06,"8,353,646"
,"Sep 7, 2021",169.56,169.78,167.63,167.71,"10,007,697"
,"Sep 8, 2021",168.02,168.08,166.70,167.29,"6,575,990"
,"Sep 9, 2021",168.17,168.28,166.83,168.03,"6,641,424"
,"Sep 10, 2021",167.81,168.08,167.15,167.18,"7,426,272"
,"Sep 13, 2021",167.45,168.22,167.40,167.74,"5,474,323"
,"Sep 14, 2021",168.22,169.16,167.48,168.82,"7,922,917"
,"Sep 15, 2021",168.13,168.36,167.45,167.83,"5,624,883"
,"Sep 16, 2021",164.38,164.44,163.23,164.03,"11,780,399"
,"Sep 17, 2021",163.86,164.32,163.40,163.77,"8,369,679"
,"Sep 20, 2021",164.29,165.28,164.07,164.94,"7,566,577"
,"Sep 21, 2021",165.81,166.63,165.49,166.04,"7,181,458"
,"Sep 22, 2021",165.89,167.15,165.03,165.42,"9,777,794"
,"Sep 23, 2021",164.10,164.20,163.27,163.51,"8,451,899"
,"Sep 24, 2021",163.00,164.00,162.74,163.30,"6,937,521"
,"Sep 27, 2021",163.85,164.36,163.51,163.64,"4,942,989"
,"Sep 28, 2021",162.73,162.82,161.73,162.05,"9,282,755"
,"Sep 29, 2021",162.35,162.74,160.97,161.32,"8,360,656"
,"Sep 30, 2021",162.66,164.95,162.34,164.22,"10,574,824"
,"Oct 1, 2021",164.27,164.96,163.89,164.59,"6,654,686"
,"Oct 4, 2021",163.69,165.54,163.47,165.36,"7,651,658"
,"Oct 5, 2021",163.94,164.85,163.49,164.59,"5,617,283"
,"Oct 6, 2021",164.23,165.06,164.15,165.03,"6,067,156"
,"Oct 7, 2021",164.02,164.85,163.96,164.16,"4,791,505"
,"Oct 8, 2021",166.32,166.42,164.14,164.23,"8,536,109"
,"Oct 11, 2021",164.04,164.58,163.91,163.92,"3,820,087"
,"Oct 12, 2021",164.57,165.44,164.31,164.66,"5,453,049"
,"Oct 13, 2021",165.28,167.92,165.28,167.59,"11,118,291"
,"Oct 14, 2021",168.19,168.22,167.71,168.00,"5,083,847"
,"Oct 15, 2021",165.39,166.09,165.10,165.33,"8,699,223"
,"Oct 18, 2021",165.42,165.59,164.81,164.92,"4,029,594"
,"Oct 19, 2021",166.50,166.50,165.20,165.45,"6,588,473"
,"Oct 20, 2021",166.21,167.11,165.93,166.90,"5,022,036"
,"Oct 21, 2021",166.70,166.94,166.24,166.75,"4,412,389"
,"Oct 22, 2021",168.67,169.54,166.67,167.77,"10,703,927"
,"Oct 25, 2021",168.66,169.21,168.53,168.93,"4,881,346"
,"Oct 26, 2021",167.88,167.91,166.63,167.68,"6,658,890"
,"Oct 27, 2021",167.73,168.20,166.86,168.12,"5,823,080"
,"Oct 28, 2021",168.98,169.25,167.53,168.08,"7,000,717"
,"Oct 29, 2021",166.29,166.73,165.64,166.65,"7,531,872"
,"Nov 1, 2021",167.38,167.84,166.91,167.52,"4,975,560"
,"Nov 2, 2021",167.43,167.63,166.96,167.16,"3,760,736"
,"Nov 3, 2021",165.34,165.95,164.38,165.77,"9,055,208"
,"Nov 4, 2021",167.51,168.14,167.37,167.65,"6,656,097"
,"Nov 5, 2021",168.42,169.94,167.85,169.84,"9,368,948"
,"Nov 8, 2021",170.43,170.70,170.06,170.45,"4,966,135"
,"Nov 9, 2021",170.73,171.31,170.12,171.29,"5,781,180"
,"Nov 10, 2021",173.67,174.65,172.11,173.15,"11,461,779"
,"Nov 11, 2021",173.98,174.27,173.74,174.12,"5,959,640"
,"Nov 12, 2021",173.51,174.67,173.40,174.45,"7,894,848"
,"Nov 15, 2021",174.10,174.59,173.69,174.18,"5,630,808"
,"Nov 16, 2021",173.97,174.48,172.86,172.92,"8,667,323"
,"Nov 17, 2021",174.24,174.61,173.89,174.50,"6,523,061"
,"Nov 18, 2021",173.96,174.36,173.53,173.94,"6,253,445"
,"Nov 19, 2021",173.69,174.10,172.24,172.61,"8,787,253"
,"Nov 22, 2021",169.90,170.44,168.42,168.74,"13,100,511"
,"Nov 23, 2021",167.28,167.60,166.53,167.28,"8,053,370"
,"Nov 24, 2021",166.58,167.44,166.32,167.12,"5,359,457"
,"Nov 26, 2021",168.60,168.64,166.37,166.85,"9,605,192"
,"Nov 29, 2021",166.84,167.26,166.38,166.62,"7,394,940"
,"Nov 30, 2021",167.77,169.01,165.37,165.50,"12,925,270"
,"Dec 1, 2021",166.84,167.47,166.06,166.16,"7,825,484"
,"Dec 2, 2021",165.89,165.94,164.63,165.24,"9,604,118"
,"Dec 3, 2021",165.49,166.93,165.00,166.63,"9,507,938"
,"Dec 6, 2021",166.14,166.80,165.93,166.22,"4,813,624"
,"Dec 7, 2021",166.20,167.08,166.18,166.81,"4,900,713"
,"Dec 8, 2021",166.51,166.96,166.28,166.90,"4,288,935"
,"Dec 9, 2021",166.54,166.58,165.65,165.88,"4,913,771"
,"Dec 10, 2021",166.72,166.92,166.18,166.58,"6,450,614"
,"Dec 13, 2021",166.90,167.26,166.67,167.00,"6,610,673"
,"Dec 14, 2021",165.34,166.14,165.16,165.44,"8,637,879"
,"Dec 15, 2021",165.27,166.40,163.80,166.15,"14,231,184"
,"Dec 16, 2021",167.01,168.18,166.94,168.16,"11,186,197"
,"Dec 17, 2021",168.73,169.13,167.78,167.80,"9,867,792"
,"Dec 20, 2021",167.88,168.00,167.06,167.09,"6,972,959"
,"Dec 21, 2021",167.69,167.78,166.74,167.02,"4,548,504"
,"Dec 22, 2021",167.58,168.64,167.11,168.59,"4,672,941"
,"Dec 23, 2021",168.69,169.16,168.01,168.97,"4,551,124"
,"Dec 27, 2021",168.96,169.42,168.78,169.37,"4,763,297"
,"Dec 28, 2021",169.33,169.65,168.62,168.64,"4,545,714"
,"Dec 29, 2021",167.36,168.69,167.28,168.59,"5,889,714"
,"Dec 30, 2021",168.43,169.81,168.37,169.80,"5,426,311"
,"Dec 31, 2021",170.53,171.04,170.04,170.96,"7,039,330"
,"Jan 3, 2022",168.86,169.01,168.00,168.33,"9,014,423"
,"Jan 4, 2022",168.90,169.72,168.73,169.57,"6,965,598"
,"Jan 5, 2022",170.62,170.93,168.90,169.06,"8,715,585"
,"Jan 6, 2022",167.16,167.75,166.86,166.99,"10,902,661"
,"Jan 7, 2022",167.37,168.01,166.86,167.75,"8,191,936"
,"Jan 10, 2022",167.36,168.30,167.31,168.26,"7,026,475"
,"Jan 11, 2022",168.44,170.31,168.37,170.29,"8,368,980"
,"Jan 12, 2022",170.19,170.75,170.01,170.74,"6,280,745"
,"Jan 13, 2022",170.09,170.22,169.27,170.16,"7,034,202"
,"Jan 14, 2022",170.22,170.56,169.48,169.67,"7,865,900"
,"Jan 18, 2022",169.64,170.01,169.09,169.39,"9,323,046"
,"Jan 19, 2022",170.39,172.19,170.20,172.08,"15,784,477"
,"Jan 20, 2022",172.31,172.60,171.59,171.65,"9,570,477"
,"Jan 21, 2022",172.04,172.12,170.74,171.09,"10,982,517"
,"Jan 24, 2022",171.78,172.14,170.85,172.03,"15,735,970"
,"Jan 25, 2022",171.95,173.15,171.78,172.58,"17,382,097"
,"Jan 26, 2022",171.39,171.73,169.48,169.79,"17,799,403"
,"Jan 27, 2022",168.02,169.09,167.33,167.60,"15,875,306"
,"Jan 28, 2022",166.56,167.46,166.37,167.10,"9,782,484"
,"Jan 31, 2022",167.79,168.14,167.46,168.09,"8,539,265"
,"Feb 1, 2022",168.57,168.85,167.87,168.23,"9,763,909"
,"Feb 2, 2022",168.34,169.12,168.16,168.84,"9,085,285"
,"Feb 3, 2022",168.31,168.82,167.03,168.60,"10,650,800"
,"Feb 4, 2022",168.04,169.10,167.99,168.86,"9,619,611"
,"Feb 7, 2022",169.45,170.30,169.19,170.11,"7,796,866"
,"Feb 8, 2022",170.10,170.78,169.95,170.63,"5,801,993"
,"Feb 9, 2022",170.68,171.42,170.55,171.21,"8,002,766"
,"Feb 10, 2022",170.52,171.99,170.46,170.56,"10,693,524"
,"Feb 11, 2022",170.75,174.20,170.71,173.81,"25,741,494"
,"Feb 14, 2022",173.78,175.00,173.68,174.74,"13,650,704"
,"Feb 15, 2022",173.10,173.34,172.39,173.08,"12,607,006"
,"Feb 16, 2022",173.49,174.86,173.48,174.86,"12,772,069"
,"Feb 17, 2022",176.70,177.53,176.39,177.25,"18,612,546"
,"Feb 18, 2022",177.07,177.25,176.51,177.12,"12,760,663"
,"Feb 22, 2022",177.67,178.07,176.82,177.49,"14,960,494"
,"Feb 23, 2022",177.39,178.39,177.36,178.29,"11,772,201"
,"Feb 24, 2022",182.59,182.60,175.27,177.14,"32,725,999"
,"Feb 25, 2022",176.42,176.79,175.79,176.55,"11,530,929"
,"Feb 28, 2022",178.86,178.99,176.50,178.38,"16,055,844"
,"Mar 1, 2022",179.05,181.76,179.03,181.62,"21,942,127"
,"Mar 2, 2022",180.13,180.71,178.79,179.73,"19,727,192"
,"Mar 3, 2022",179.96,181.30,179.50,180.80,"14,826,051"
,"Mar 4, 2022",182.11,183.98,181.36,183.68,"22,412,092"
,"Mar 7, 2022",184.45,186.64,184.22,186.41,"27,951,785"
,"Mar 8, 2022",188.35,193.30,188.26,191.51,"47,347,678"
,"Mar 9, 2022",186.04,187.23,184.76,185.82,"26,839,671"
,"Mar 10, 2022",186.88,187.38,184.99,186.40,"18,455,213"
,"Mar 11, 2022",183.74,185.78,183.44,185.09,"14,824,715"
