,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,AMR,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Alpha Metallurgical Resources Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,132.73,,-3.74,-2.74%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"2,460M",8.73,1.36,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,AMR,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Dec 3, 2021",48.03,48.81,45.15,46.03,"709,796"
,"Dec 6, 2021",47.03,48.47,45.66,47.56,"275,834"
,"Dec 7, 2021",49.19,50.33,48.64,49.33,"263,045"
,"Dec 8, 2021",49.80,52.85,49.03,51.22,"249,499"
,"Dec 9, 2021",50.66,52.22,49.85,51.33,"140,102"
,"Dec 10, 2021",51.99,52.29,48.14,50.12,"182,599"
,"Dec 13, 2021",49.73,51.23,48.80,49.41,"344,101"
,"Dec 14, 2021",49.00,51.67,47.73,48.36,"224,967"
,"Dec 15, 2021",47.86,49.79,44.47,49.27,"278,824"
,"Dec 16, 2021",49.78,52.12,49.78,50.73,"208,137"
,"Dec 17, 2021",50.32,53.12,49.49,51.39,"828,421"
,"Dec 20, 2021",49.31,51.67,47.43,51.50,"245,415"
,"Dec 21, 2021",52.77,57.06,52.75,56.89,"231,681"
,"Dec 22, 2021",56.79,58.18,55.27,57.37,"208,362"
,"Dec 23, 2021",57.32,58.32,56.04,56.31,"246,638"
,"Dec 27, 2021",55.61,59.61,54.17,59.23,"172,988"
,"Dec 28, 2021",59.49,59.49,57.72,59.29,"175,033"
,"Dec 29, 2021",59.04,60.60,58.69,59.35,"181,472"
,"Dec 30, 2021",59.59,60.27,57.49,60.03,"258,901"
,"Dec 31, 2021",59.76,61.23,59.19,61.05,"248,156"
,"Jan 3, 2022",61.40,63.95,60.79,62.99,"219,296"
,"Jan 4, 2022",63.70,66.35,63.54,64.06,"440,265"
,"Jan 5, 2022",64.22,65.42,62.31,62.78,"237,162"
,"Jan 6, 2022",63.06,64.30,60.74,62.87,"180,071"
,"Jan 7, 2022",63.14,64.42,61.82,62.70,"148,504"
,"Jan 10, 2022",62.00,63.67,60.16,63.50,"281,927"
,"Jan 11, 2022",64.41,67.34,62.21,66.11,"416,930"
,"Jan 12, 2022",66.50,71.32,66.43,70.92,"603,618"
,"Jan 13, 2022",72.20,73.05,69.30,70.16,"285,319"
,"Jan 14, 2022",69.80,72.32,68.85,70.72,"221,053"
,"Jan 18, 2022",70.47,72.70,69.00,70.37,"287,382"
,"Jan 19, 2022",71.00,72.49,69.08,69.62,"257,258"
,"Jan 20, 2022",69.62,70.30,61.56,62.18,"451,376"
,"Jan 21, 2022",62.02,62.41,58.50,59.57,"606,641"
,"Jan 24, 2022",57.04,61.00,55.98,60.37,"445,950"
,"Jan 25, 2022",59.37,61.94,57.69,61.09,"264,886"
,"Jan 26, 2022",61.51,65.75,60.97,62.57,"318,077"
,"Jan 27, 2022",63.01,65.34,61.63,62.81,"282,060"
,"Jan 28, 2022",63.14,64.73,61.24,64.62,"294,374"
,"Jan 31, 2022",64.02,64.51,61.45,63.23,"139,501"
,"Feb 1, 2022",63.59,73.67,63.59,73.63,"484,777"
,"Feb 2, 2022",73.64,75.33,69.49,70.48,"303,909"
,"Feb 3, 2022",69.22,78.60,68.51,75.65,"504,462"
,"Feb 4, 2022",75.80,78.89,74.57,76.57,"277,915"
,"Feb 7, 2022",77.54,78.04,74.97,76.83,"494,490"
,"Feb 8, 2022",77.00,81.95,77.00,78.81,"344,724"
,"Feb 9, 2022",79.40,82.41,78.67,79.94,"361,476"
,"Feb 10, 2022",79.54,84.96,79.43,80.75,"408,676"
,"Feb 11, 2022",80.00,84.44,78.05,84.18,"361,573"
,"Feb 14, 2022",84.18,85.39,80.72,84.89,"320,576"
,"Feb 15, 2022",84.62,87.97,82.58,87.30,"251,029"
,"Feb 16, 2022",87.52,89.90,84.50,85.17,"294,591"
,"Feb 17, 2022",84.19,88.29,83.20,87.42,"230,920"
,"Feb 18, 2022",86.93,90.96,86.48,89.33,"329,878"
,"Feb 22, 2022",89.94,93.38,88.28,90.77,"374,790"
,"Feb 23, 2022",91.50,97.43,90.39,91.90,"429,070"
,"Feb 24, 2022",89.77,90.28,85.51,89.89,"408,012"
,"Feb 25, 2022",89.99,95.85,88.73,94.71,"287,053"
,"Feb 28, 2022",94.23,96.94,91.72,94.78,"406,117"
,"Mar 1, 2022",96.25,102.46,93.60,97.14,"350,847"
,"Mar 2, 2022",99.81,106.99,99.04,106.65,"486,530"
,"Mar 3, 2022",106.68,116.99,103.86,114.63,"612,888"
,"Mar 4, 2022",115.00,117.12,109.23,116.15,"568,652"
,"Mar 7, 2022",120.46,132.30,113.07,116.64,"986,050"
,"Mar 8, 2022",117.81,132.70,117.12,126.40,"703,828"
,"Mar 9, 2022",123.35,124.89,116.49,121.64,"866,180"
,"Mar 10, 2022",125.91,136.96,125.01,136.66,"975,519"
,"Mar 11, 2022",136.63,137.00,127.19,132.73,"723,870"
